symbol,company,date,revenue,net_profit,navps
002607.SZ,中公教育,2025-03-31,575021369.1,39994460.25,0.1239
002607.SZ,中公教育,2025-06-30,580217673.97,21789842.69,0.1275
002607.SZ,中公教育,2025-12-31,579561188.02,-43075087.31,0.1228
003032.SZ,传智教育,2025-03-31,322347661.35,5421112.5,11.5598
003032.SZ,传智教育,2025-06-30,398722412.65,15094159.69,11.6837
003032.SZ,传智教育,2025-12-31,298200177.83,-20370003.68,11.9079
300010.SZ,豆神教育,2025-03-31,189649918.75,37367113.18,0.8132
300010.SZ,豆神教育,2025-06-30,259616156.68,66502717.85,0.8492
300010.SZ,豆神教育,2025-09-30,,,
300010.SZ,豆神教育,2025-12-31,230028956.08,-21482083.02,0.8588
300338.SZ,开元教育,2025-03-31,34060651.48,-17813774.36,0.0211
300338.SZ,开元教育,2025-06-30,41582329.97,-26548120.7,-0.0474
300338.SZ,开元教育,2025-09-30,,,
300338.SZ,开元教育,2025-12-31,23400562.9,-74167181.4,-0.2756
600661.SS,昂立教育,2025-03-31,309117608.28,13320765.04,0.2422
600661.SS,昂立教育,2025-06-30,323224809.51,-10432476.58,0.2023
600661.SS,昂立教育,2025-09-30,,,
600661.SS,昂立教育,2025-12-31,291178356.96,40639359.7,0.7754
